set,n,paper_r2,max_greedy,max_sampled,max_inflation,mean_greedy,mean_sampled,frac_scores_identical,gap_to_paper_greedy,gap_to_paper_sampled
S1,712,0.8899,0.7119593136751259,0.7378506113223056,0.02589129764717968,-6.536123557987019,-6.516525356224683,0.9873595505617978,0.17794068632487414,0.15204938867769446
F1,800,0.8764,0.7220740315068512,0.7220740315068512,0.0,-0.3621138549346543,-0.3544997924097963,0.9725,0.15432596849314872,0.15432596849314872
S4,710,0.7843,0.3486996485821002,0.34869964858210023,5.551115123125783e-17,-0.48577955138428874,-0.48569821286752307,0.9845070422535211,0.4356003514178998,0.43560035141789977
S2,738,0.564,0.2233547321726922,0.2233547321726922,0.0,-0.7052997943821134,-0.704844576793324,0.9878048780487805,0.34064526782730775,0.34064526782730775
