feature_set,model,mean_r2_in_sample_mechanical,mean_r2_cv_mechanical,mean_r2_in_sample_all8,mean_r2_cv_all8
composition,ridge,0.026117074694343156,0.0014277289608885468,0.022147301616056644,-0.0018006318101146724
composition,gbm,0.7988162068718443,-0.15531000756389712,0.7987651829860004,-0.18578664664333494
composition+motifs,ridge,0.024870292533870658,0.003523215088584697,0.020900348670899016,-0.00037936460029175953
composition+motifs,gbm,0.7978936617313672,-0.15509706190394792,0.7992056461921061,-0.17665764519256202
dipeptide,ridge,0.09995918860339134,0.014298117908312329,0.09331616634922829,0.007311921822499378
dipeptide,gbm,0.870185678679968,-0.13001250300183675,0.8653496215573793,-0.16660117966699373
