set,n_parsed,n_verbatim_copies,copy_rate,n_novel,n_distinct_copied_sequences,most_repeated_copy_share,n_distinct_novel
F1,1946,1122,0.5765673175745119,824,210,0.05525846702317291,708
F2,1961,1219,0.6216216216216216,742,288,0.02543068088597211,649
F3,1949,1208,0.6198050282195998,741,232,0.04718543046357616,647
S1,1953,1237,0.6333845366103431,716,234,0.037186742118027485,647
S2,1948,1206,0.6190965092402464,742,225,0.0439469320066335,662
S3,1955,1194,0.6107416879795396,761,242,0.025963149078726967,689
S4,1958,1243,0.6348314606741573,715,255,0.03378921962992759,639
S5,1974,1324,0.6707193515704154,650,198,0.04758308157099698,570
