set,n,mean,std,p05,p50,p95,extrapolated
F1,1,-0.35542216062545096,1.0421456267511016,-2.794212832507102,-0.0311245497833221,0.4500836194166744,False
F1,2,0.06350186647022903,0.3931832887525722,-0.4340097932823884,0.0473335554185336,0.4992033376416577,False
F1,4,0.2328161679696898,0.19564662400950833,-0.06629860303266784,0.220883979445388,0.526327943348026,False
F1,8,0.34327666432529086,0.16451733499003124,0.0473335554185336,0.3544166430841754,0.5723776791839479,False
F1,16,0.4370538389483768,0.1276180495349463,0.1981134649678275,0.4948760509073273,0.5883176756839366,False
F1,32,0.5080690919591819,0.09777626577913627,0.3209206668919659,0.5217036859554574,0.7220740315068512,False
F1,64,0.5567632358038624,0.07857829707185819,0.4948760509073273,0.526327943348026,0.7220740315068512,False
F2,1,-3.399844950564103,5.945742281340856,-20.973514871794873,-1.3457230769230772,0.5633435897435897,False
F2,2,-0.8574355191794875,2.146975955049282,-5.364632820512822,-0.0441435897435895,0.5633435897435897,False
F2,4,0.04752946666666659,0.7700333405952994,-1.65563076923077,0.1448615384615386,0.5633435897435897,False
F2,8,0.3983435179487179,0.32982836690971357,-0.0859487179487181,0.5633435897435897,0.5633435897435897,False
F2,16,0.5357707794871794,0.1250133762992013,0.1323282051282052,0.5633435897435897,0.650625641025641,False
F2,32,0.576192,0.04579191285241056,0.5633435897435897,0.5633435897435897,0.650625641025641,False
F2,64,0.5928473538461537,0.047026957221418544,0.5633435897435897,0.5633435897435897,0.6964102564102564,False
F3,1,-0.3386623455213159,1.1404182265735108,-3.997209005269041,0.12108095162062879,0.3674053967747085,False
F3,2,0.12595116397892372,0.4578595720205426,-0.4808079195273833,0.2539006865719302,0.4132658470381599,False
F3,4,0.30136245090212344,0.15314249358630277,0.0483761775506942,0.3181318856777901,0.5180073447229763,False
F3,8,0.3668915439885038,0.10503275325676192,0.2357847676832188,0.3181318856777901,0.6140954813986907,False
F3,16,0.41753497684815577,0.1072781053369446,0.3181318856777901,0.399540156474533,0.6780488583745808,False
F3,32,0.47461246048219696,0.11504884307523422,0.3181318856777901,0.4299026025866198,0.6780488583745808,False
F3,64,0.5401683634041193,0.10889634849577691,0.3904933737825323,0.5180073447229763,0.6780488583745808,False
S1,1,-6.4869034984074805,11.124729913133443,-29.450426384465228,-2.231120928798931,0.3384362478167061,False
S1,2,-2.0879629096886885,4.03119403468003,-9.458440357546497,-1.3940717147847534,0.3384362478167061,False
S1,4,-0.6584826363916575,1.2024902861614883,-2.506215966300217,-0.2889140039042437,0.5177232096989623,False
S1,8,-0.07227897359498621,0.6635965246853945,-1.7291688071509306,0.144713860063701,0.7119593136751259,False
S1,16,0.26265586150210624,0.35899230003639826,-0.4881614096373164,0.3384362478167061,0.7119593136751259,False
S1,32,0.4447829035240934,0.19982460809169392,0.144713860063701,0.3716223158327338,0.7119593136751259,False
S1,64,0.5487342289119491,0.1647891129797194,0.3384362478167061,0.6024350148977706,0.7119593136751259,False
S2,1,-0.7045936308666619,0.6442725742850114,-2.306500803561484,-0.6650359702054607,-0.0915529687574587,False
S2,2,-0.38477195577706796,0.34816062013488314,-0.8758643368982351,-0.2746129379586888,0.0204505955548638,False
S2,4,-0.21965988044702428,0.21505980286675316,-0.6650359702054607,-0.1453288237238932,0.0898203169338428,False
S2,8,-0.08750321512994017,0.13885963091718964,-0.3711782209201797,-0.0967049559146191,0.1252724948595048,False
S2,16,-0.019638392028387287,0.10737363910713836,-0.12393251851550663,-0.0544353234666474,0.1274047174097913,False
S2,32,0.031197872374280983,0.09919544470799134,-0.0967049559146191,0.037925626804477,0.2233547321726922,False
S2,64,0.09010400861375464,0.08018187255542655,-0.0669033445484232,0.1018640151200391,0.2233547321726922,False
S3,1,-0.36180096795698385,0.4429592316219577,-1.4965469400770326,-0.3057983621857543,0.2901045847796838,False
S3,2,-0.1508104866730628,0.27586760850954917,-0.4676758720293292,-0.1381941899830958,0.33722917931203317,False
S3,4,0.00521401050043497,0.2343135269546865,-0.3561952286515863,-0.0670183594445641,0.4332189306189961,False
S3,8,0.1214788541453968,0.21312061528928608,-0.1501603223042404,0.0909394355573334,0.4332189306189961,False
S3,16,0.2547649103472453,0.17486451756927265,-0.0756335271746071,0.2901045847796838,0.4332189306189961,False
S3,32,0.3507164285840822,0.1296242751426637,0.0846552114771935,0.3923658798333281,0.4332189306189961,False
S3,64,0.41696551229013346,0.09082539427249277,0.2901045847796838,0.4332189306189961,0.6494223455446808,False
S4,1,-0.47777738828741395,0.37300129748556204,-1.222605576578685,-0.48098144559070877,0.2110917972978777,False
S4,2,-0.28134819912570663,0.28989095502764817,-0.6833715080640279,-0.2865261170382021,0.23044064421063165,False
S4,4,-0.09720590073518133,0.252134442108846,-0.4853274918544503,-0.1441076360856832,0.2930548287308895,False
S4,8,0.01295834527663309,0.21359695072754473,-0.3250111543845717,-0.0101358073714483,0.2931354733973406,False
S4,16,0.14127874127700824,0.1711825956728585,-0.180834269074436,0.21783263952623,0.3486996485821002,False
S4,32,0.23194370301023742,0.10649635782159866,-0.0101358073714483,0.2672695732056344,0.3486996485821002,False
S4,64,0.28211280698663316,0.05678123032088827,0.2110917972978777,0.2734967439715922,0.3486996485821002,False
S5,1,-11.708635798696005,19.99237507173059,-68.42746536267317,-3.610092366204836,0.2063977180114102,False
S5,2,-3.4326333197500682,6.268545516060148,-15.61824232545504,-2.6079190437381143,0.2302363488182562,False
S5,4,-1.2887910214615594,1.9238705059172736,-3.628905188807391,-0.8917413746264604,0.2302363488182562,False
S5,8,-0.44889286199402323,0.8694315841598649,-2.660825862537354,-0.2591687041564792,0.3991442542787289,False
S5,16,-0.025174986416734393,0.48699542282647784,-1.1207552295571852,0.2302363488182562,0.4007063298016843,False
S5,32,0.2140511070361317,0.23794528817957997,-0.2591687041564792,0.2302363488182562,0.5984107579462103,False
S5,64,0.3364923933713667,0.16471230183442762,0.2302363488182562,0.2309834284161912,0.6232681336593318,False
