set,n_pool,paper_r2,r2_single_sample_mean,r2_single_sample_median,r2_pool_max,frac_at_or_above_paper,n_to_reach_paper_median,selection_gain
F1,815,0.8764,-0.36131679804288963,-0.0283014001491601,0.7220740315068512,0.0,,1.083390829549741
F2,739,0.8369,-3.5670626434891233,-1.411835897435897,0.6964102564102564,0.0,,4.26347289989938
F3,735,0.6889,-0.3630924650875841,0.0914130608334662,0.6780488583745808,0.0,,1.041141323462165
S1,712,0.8899,-6.536123557987019,-2.249871570944211,0.7119593136751259,0.0,,7.248082871662145
S2,738,0.564,-0.7052997943821134,-0.6650359702054607,0.2233547321726922,0.0,,0.9286545265548056
S3,752,0.7167,-0.3662715978047391,-0.3057983621857543,0.6494223455446808,0.0,,1.0156939433494199
S4,710,0.7843,-0.48577955138428874,-0.4833429318017861,0.3486996485821002,0.0,,0.834479199966389
S5,641,0.7751,-11.593083935256349,-3.61083944580277,0.6232681336593318,0.0,,12.21635206891568
