family,n,in_training_distribution,mean_r2_mechanical,mean_r2_all8,mean_abs_error
MaSp,60,True,0.8261463269602853,0.736897404416089,0.023895613948785907
MiSp,60,False,-0.2696930317534393,-0.38406115002130514,0.1408520025322952
AcSp,60,False,-0.31710645102978563,-0.6835653465749946,0.16971438557445062
AgSp,57,False,-0.4300292370307269,-0.5888686006081296,0.1582725970626044
CySp,58,False,-0.4716646421815417,-0.5471528278068136,0.1512874360571944
Flag,59,False,-0.5140024264266614,-0.6756565675622244,0.16086980858697666
PySp,59,False,-0.5398508983485888,-0.4627741954583013,0.15221542510808236
